Start point [1766529314.0988185]
[2025-12-23 23:35:14] Micro Generative Pre-trained Transformer test arch - V0.0.1.
[2025-12-23 23:35:14] To change any setting, go check config.json.
[2025-12-23 23:35:14] PyTorch version: 2.0.1+cu117
[2025-12-23 23:35:14] CUDA status : True
[2025-12-23 23:35:14] 1 GPU detected.
[2025-12-23 23:35:14]  -> Device 0: NVIDIA GeForce GTX 970
[2025-12-23 23:35:14] Using device: cuda.
[2025-12-23 23:35:14] Loading data from data/tiny_sheakespeare.txt...
[2025-12-23 23:35:14] Data loaded successfully from data/tiny_sheakespeare.txt.
[2025-12-23 23:35:14] Initializing tokenizer...
[2025-12-23 23:35:14] Tokenizer initialized with vocab size 10000.
[2025-12-23 23:35:14] Existing tokenizer found. Loading vocabulary...
[2025-12-23 23:35:14] Vocabulary loaded from model/tokenizer.json.
[2025-12-23 23:35:14] Embedding module initialized.
[2025-12-23 23:35:14] No existing embedding table found. Creating new embedding table...
[2025-12-23 23:35:14] Embedding model created based on DNN configuration. The embedding model has 13073424 parameters.
[2025-12-23 23:38:15] Preparing training data for embedding model...
[2025-12-23 23:38:15] Transforming the data to one-hot vectors...
[2025-12-23 23:39:18] Epoch [1/10] - Loss: 0.0001
[2025-12-23 23:39:19] Epoch [2/10] - Loss: 0.0001
[2025-12-23 23:39:19] Epoch [3/10] - Loss: 0.0001
[2025-12-23 23:39:20] Epoch [4/10] - Loss: 0.0001
[2025-12-23 23:39:20] Epoch [5/10] - Loss: 0.0001
[2025-12-23 23:39:21] Epoch [6/10] - Loss: 0.0001
[2025-12-23 23:39:21] Epoch [7/10] - Loss: 0.0001
[2025-12-23 23:39:22] Epoch [8/10] - Loss: 0.0001
[2025-12-23 23:39:22] Epoch [9/10] - Loss: 0.0001
[2025-12-23 23:39:23] Epoch [10/10] - Loss: 0.0001
[2025-12-23 23:41:32] Epoch [1/10] - Loss: 0.0001
[2025-12-23 23:41:32] Epoch [2/10] - Loss: 0.0001
[2025-12-23 23:41:33] Epoch [3/10] - Loss: 0.0001
[2025-12-23 23:41:33] Epoch [4/10] - Loss: 0.0001
[2025-12-23 23:41:34] Epoch [5/10] - Loss: 0.0001
[2025-12-23 23:41:34] Epoch [6/10] - Loss: 0.0001
[2025-12-23 23:41:35] Epoch [7/10] - Loss: 0.0001
[2025-12-23 23:41:35] Epoch [8/10] - Loss: 0.0001
[2025-12-23 23:41:36] Epoch [9/10] - Loss: 0.0001
[2025-12-23 23:41:36] Epoch [10/10] - Loss: 0.0001
[2025-12-23 23:43:46] Epoch [1/10] - Loss: 0.0001
[2025-12-23 23:43:46] Epoch [2/10] - Loss: 0.0001
[2025-12-23 23:43:47] Epoch [3/10] - Loss: 0.0001
[2025-12-23 23:43:48] Epoch [4/10] - Loss: 0.0001
[2025-12-23 23:43:48] Epoch [5/10] - Loss: 0.0001
[2025-12-23 23:43:49] Epoch [6/10] - Loss: 0.0001
[2025-12-23 23:43:49] Epoch [7/10] - Loss: 0.0001
[2025-12-23 23:43:50] Epoch [8/10] - Loss: 0.0001
[2025-12-23 23:43:51] Epoch [9/10] - Loss: 0.0001
[2025-12-23 23:43:51] Epoch [10/10] - Loss: 0.0001
[2025-12-23 23:46:51] Epoch [1/10] - Loss: 0.0001
[2025-12-23 23:46:52] Epoch [2/10] - Loss: 0.0001
[2025-12-23 23:46:54] Epoch [3/10] - Loss: 0.0001
[2025-12-23 23:46:55] Epoch [4/10] - Loss: 0.0001
[2025-12-23 23:46:56] Epoch [5/10] - Loss: 0.0001
[2025-12-23 23:46:58] Epoch [6/10] - Loss: 0.0001
[2025-12-23 23:46:59] Epoch [7/10] - Loss: 0.0001
[2025-12-23 23:47:00] Epoch [8/10] - Loss: 0.0001
[2025-12-23 23:47:02] Epoch [9/10] - Loss: 0.0001
[2025-12-23 23:47:04] Epoch [10/10] - Loss: 0.0001
[2025-12-23 23:48:50] Epoch [1/10] - Loss: 0.0001
[2025-12-23 23:48:50] Epoch [2/10] - Loss: 0.0001
[2025-12-23 23:48:51] Epoch [3/10] - Loss: 0.0001
[2025-12-23 23:48:51] Epoch [4/10] - Loss: 0.0001
[2025-12-23 23:48:52] Epoch [5/10] - Loss: 0.0001
[2025-12-23 23:48:52] Epoch [6/10] - Loss: 0.0001
[2025-12-23 23:48:53] Epoch [7/10] - Loss: 0.0001
[2025-12-23 23:48:53] Epoch [8/10] - Loss: 0.0001
[2025-12-23 23:48:54] Epoch [9/10] - Loss: 0.0001
[2025-12-23 23:48:55] Epoch [10/10] - Loss: 0.0001
[2025-12-23 23:50:54] Epoch [1/10] - Loss: 0.0001
[2025-12-23 23:50:55] Epoch [2/10] - Loss: 0.0001
[2025-12-23 23:50:56] Epoch [3/10] - Loss: 0.0001
[2025-12-23 23:50:57] Epoch [4/10] - Loss: 0.0001
[2025-12-23 23:50:58] Epoch [5/10] - Loss: 0.0001
[2025-12-23 23:50:59] Epoch [6/10] - Loss: 0.0001
[2025-12-23 23:51:00] Epoch [7/10] - Loss: 0.0001
[2025-12-23 23:51:01] Epoch [8/10] - Loss: 0.0001
[2025-12-23 23:51:02] Epoch [9/10] - Loss: 0.0001
[2025-12-23 23:51:03] Epoch [10/10] - Loss: 0.0001
[2025-12-23 23:52:37] Epoch [1/10] - Loss: 0.0001
[2025-12-23 23:52:38] Epoch [2/10] - Loss: 0.0001
[2025-12-23 23:52:38] Epoch [3/10] - Loss: 0.0001
[2025-12-23 23:52:38] Epoch [4/10] - Loss: 0.0001
[2025-12-23 23:52:39] Epoch [5/10] - Loss: 0.0001
[2025-12-23 23:52:40] Epoch [6/10] - Loss: 0.0001
[2025-12-23 23:52:40] Epoch [7/10] - Loss: 0.0001
[2025-12-23 23:52:41] Epoch [8/10] - Loss: 0.0001
[2025-12-23 23:52:41] Epoch [9/10] - Loss: 0.0001
[2025-12-23 23:52:42] Epoch [10/10] - Loss: 0.0001
[2025-12-23 23:54:27] Epoch [1/10] - Loss: 0.0001
[2025-12-23 23:54:27] Epoch [2/10] - Loss: 0.0001
[2025-12-23 23:54:28] Epoch [3/10] - Loss: 0.0001
[2025-12-23 23:54:28] Epoch [4/10] - Loss: 0.0001
[2025-12-23 23:54:29] Epoch [5/10] - Loss: 0.0001
[2025-12-23 23:54:29] Epoch [6/10] - Loss: 0.0001
[2025-12-23 23:54:30] Epoch [7/10] - Loss: 0.0001
[2025-12-23 23:54:30] Epoch [8/10] - Loss: 0.0001
[2025-12-23 23:54:31] Epoch [9/10] - Loss: 0.0001
[2025-12-23 23:54:32] Epoch [10/10] - Loss: 0.0001
[2025-12-23 23:56:27] Epoch [1/10] - Loss: 0.0001
[2025-12-23 23:56:28] Epoch [2/10] - Loss: 0.0001
[2025-12-23 23:56:29] Epoch [3/10] - Loss: 0.0001
[2025-12-23 23:56:30] Epoch [4/10] - Loss: 0.0001
[2025-12-23 23:56:32] Epoch [5/10] - Loss: 0.0001
[2025-12-23 23:56:33] Epoch [6/10] - Loss: 0.0001
[2025-12-23 23:56:34] Epoch [7/10] - Loss: 0.0001
[2025-12-23 23:56:35] Epoch [8/10] - Loss: 0.0001
[2025-12-23 23:56:37] Epoch [9/10] - Loss: 0.0001
